sra_accession	strain_name	province	Isoniazid	Rifampicin	Ethambutol	Streptomycin	Kanamycin	Ofloxacin
SRS796980	07MDR17366	Hubei	R	R	R	R	S	S
SRS796994	07MDR18128	Hunan	R	R	S	R	R	R
SRS797228	07MDR18135	Hunan	R	R	R	R	S	S
SRS797462	07MDR18154	Hunan	R	R	S	R	S	S
SRS797215	07MDR18163	Hunan	R	R	R	R	S	S
SRS797260	07MDR18201	Hunan	R	R	R	R	S	R
SRS797381	07MDR18212	Hunan	R	R	S	S	S	S
SRS797098	07MDR18214	Hunan	R	R	S	S	S	S
SRS797121	07MDR18218	Hunan	R	R	R	R	S	R
SRS797224	07MDR18221	Hunan	R	R	S	S	S	S
SRS797225	07MDR18236	Hunan	R	R	R	R	S	R
SRS797406	07MDR18253	Hunan	R	R	S	S	S	S
SRS797383	07MDR18557	Hunan	R	R	S	R	S	S
SRS797323	07MDR18558	Hunan	R	R	S	R	S	S
SRS797322	07MDR18559	Hunan	R	R	S	R	S	S
SRS797246	07MDR18566	Hunan	R	R	S	S	S	R
SRS797458	07MDR18568	Hunan	R	R	R	R	S	S
SRS797233	07MDR19106	Guangdong	R	R	S	S	S	S
SRS796952	07MDR19107	Guangdong	R	R	S	S	S	S
SRS797343	07MDR19128	Guangdong	R	R	R	S	S	S
SRS797351	07MDR19209	Guangdong	R	R	S	S	S	S
SRS797186	07MDR19213	Guangdong	R	R	S	R	S	S
SRS797468	07MDR19216	Guangdong	R	R	R	S	S	S
SRS797257	07MDR19261	Guangdong	R	R	R	R	S	S
SRS797051	07MDR19329	Guangdong	R	R	R	R	S	R
SRS797025	07MDR19340	Guangdong	R	R	S	R	S	S
SRS796990	07MDR19342	Guangdong	R	R	R	R	S	S
SRS797470	07MDR19357	Guangdong	R	R	R	S	S	S
SRS797266	07MDR19359	Guangdong	R	R	R	R	S	S
SRS797070	07MDR19361	Guangdong	R	R	R	R	S	S
SRS797469	07MDR19368	Guangdong	R	R	S	S	S	S
SRS797287	07MDR19420	Guangdong	R	R	R	R	S	S
SRS797140	07MDR19441	Guangdong	R	R	S	R	S	S
SRS797216	07MDR19466	Guangdong	R	R	R	R	S	R
SRS797155	07MDR20137	Guangxi	R	R	R	S	S	S
SRS797134	07MDR20161	Guangxi	R	R	S	S	S	S
SRS796956	07MDR20163	Guangxi	R	R	R	R	S	R
SRS796951	07MDR20165	Guangxi	R	R	R	S	S	S
SRS797344	07MDR20208	Guangxi	R	R	S	R	S	S
SRS797432	07MDR22149	Chongqing	R	R	S	S	S	S
SRS797222	07MDR22160	Chongqing	R	R	R	R	S	R
SRS797160	07MDR22216	Chongqing	R	R	R	S	S	R
SRS796942	07MDR22243	Chongqing	R	R	R	S	S	R
SRS797122	07MDR22257	Chongqing	R	R	R	R	S	R
SRS797123	07MDR22268	Chongqing	R	R	R	R	S	S
SRS797463	07MDR23120	Sichuan	R	R	S	R	S	S
SRS797394	07MDR23132	Sichuan	R	R	R	R	S	R
SRS797088	07MDR23212	Sichuan	R	R	S	R	S	S
SRS797238	07MDR23234	Sichuan	R	R	S	R	S	S
SRS796976	07MDR23265	Sichuan	R	R	R	R	S	R
SRS797263	07MDR23324	Sichuan	R	R	R	R	S	R
SRS797208	07MDR23502	Sichuan	R	R	R	R	S	S
SRS797277	07MDR23557	Sichuan	R	R	R	R	S	R
SRS797415	07MDR23560	Sichuan	R	R	R	R	S	S
SRS797371	07MDR23562	Sichuan	R	R	R	S	S	S
SRS796987	07MDR24111	Guizhou	R	R	R	R	S	S
SRS797231	07MDR24117	Guizhou	R	R	S	R	S	S
SRS797085	07MDR24136	Guizhou	R	R	S	R	S	S
SRS797392	07MDR24263	Guizhou	R	R	S	S	S	S
SRS797393	07MDR24267	Guizhou	R	R	R	R	S	R
SRS796975	07MDR24272	Guizhou	R	R	R	S	S	R
SRS797095	07MDR25142	Yunnan	R	R	R	R	S	S
SRS797201	07MDR26101	Tibet	R	R	S	R	S	S
SRS796970	07MDR27121	Shaanxi	R	R	S	R	S	S
SRS797128	07MDR27126	Shaanxi	R	R	R	R	R	R
SRS797486	07MDR27130	Shaanxi	R	R	S	R	S	S
SRS796973	07MDR27149	Shaanxi	R	R	S	R	S	S
SRS796940	07MDR27154	Shaanxi	R	R	S	R	S	S
SRS797094	07MDR27156	Shaanxi	R	R	S	R	S	S
SRS797308	07MDR27164	Shaanxi	R	R	S	R	S	R
SRS796950	07MDR28103	Gansu	R	R	R	S	S	S
SRS797439	07MDR28133	Gansu	R	R	R	R	S	R
SRS796961	07MDR28158	Gansu	R	R	R	R	S	S
SRS797120	07MDR28174	Gansu	R	R	S	R	S	S
SRS797223	07MDR29120	Qinghai	R	R	S	R	S	S
SRS796995	07MDR29127	Qinghai	R	R	R	R	S	S
SRS796929	07MDR29131	Qinghai	R	R	S	R	R	S
SRS796948	07MDR29175	Qinghai	R	R	R	R	S	S
SRS797089	07MDR30111	Ningxia	R	R	S	R	S	S
SRS797003	07MDR30118	Ningxia	R	R	R	R	S	S
SRS797086	07MDR30119	Ningxia	R	R	S	R	S	S
SRS797005	07MDR30124	Ningxia	R	R	S	S	S	S
SRS797114	07MDR30126	Ningxia	R	R	R	S	S	S
SRS796999	07MDR30147	Ningxia	R	R	R	S	S	S
SRS797167	07MDR30152	Ningxia	R	R	R	R	S	R
SRS797174	07MDR30155	Ningxia	R	R	R	R	S	R
SRS797116	07MDR30157	Ningxia	R	R	R	R	S	S
SRS797169	07MDR30159	Ningxia	R	R	S	R	S	R
SRS797168	07MDR30161	Ningxia	R	R	R	R	S	R
SRS797170	07MDR30165	Ningxia	R	R	R	R	S	R
SRS797171	07MDR30167	Ningxia	R	R	R	R	S	R
SRS797331	07MDR31104	Xinjiang	R	R	S	R	S	S
SRS796930	07MDR31213	Xinjiang	R	R	S	R	S	S
SRS796934	07MDR31251	Xinjiang	R	R	S	R	S	S
