BioSample	isolation_country	collection_year	tag
SAMEA2683025	Peru	2011	patric,ncbi
SAMEA2682731	Peru	2009	patric,ncbi
SAMEA2683027	Peru	2006	patric,ncbi
SAMEA2682896	Peru	2010	patric,ncbi
SAMEA2683082	Peru	2011	patric,ncbi
SAMEA2683107	Peru	2011	patric,ncbi
SAMEA2683143	Peru	2009	patric,ncbi
SAMEA2682831	Peru	2009	patric,ncbi
SAMEA2683028	Peru	2011	patric,ncbi
SAMEA968123	Netherlands	1999	patric,ncbi
SAMEA2682846	Peru	2009	patric,ncbi
SAMEA2682776	Peru	2009	patric,ncbi
SAMEA2683132	Peru	2012	patric,ncbi
SAMEA2682708	Peru	2008	patric,ncbi
SAMEA2682912	Peru	2010	patric,ncbi
SAMEA1403945	Russia	2009	patric,ncbi
SAMEA1706699	Netherlands	1998	patric,ncbi
SAMEA2682680	Peru	2009	patric,ncbi
SAMEA2683090	Peru	2008	patric,ncbi
SAMEA2683125	Peru	2012	patric,ncbi
SAMEA2683062	Peru	2011	patric,ncbi
SAMEA3139015			patric,ncbi
SAMEA2683095	Peru	2011	patric,ncbi
SAMEA2682783	Peru	2009	patric,ncbi
SAMEA2683105	Peru	2012	patric,ncbi
SAMEA2682826	Peru	2009	patric,ncbi
SAMEA1706666	Netherlands	1994	patric,ncbi
SAMEA2682746	Peru	2009	patric,ncbi
SAMEA2682761	Peru	2009	patric,ncbi
SAMEA2682754	Peru	2009	patric,ncbi
SAMEA2683034	Peru	2011	patric,ncbi
SAMEA2682742	Peru	2009	patric,ncbi
SAMEA2683069	Peru	2011	patric,ncbi
SAMEA2683070	Peru	2011	patric,ncbi
SAMEA2682794	Peru	2009	patric,ncbi
SAMEA2683124	Peru	2012	patric,ncbi
SAMEA2682763	Peru	2009	patric,ncbi
SAMEA2683078	Peru	2011	patric,ncbi
SAMEA2683093	Peru	2012	patric,ncbi
SAMEA2682949	Peru	2009	patric,ncbi
SAMEA2683128	Peru	2012	patric,ncbi
SAMEA2682967	Peru	2011	patric,ncbi
SAMEA2682954	Peru	2009	patric,ncbi
SAMEA2682930	Peru	2009	patric,ncbi
SAMEA2682897	Peru	2009	patric,ncbi
SAMEA1707188	Russia	2009	patric,ncbi
SAMEA1018876	United Kingdom	2007	patric,ncbi
SAMEA1706667	Netherlands	2004	patric,ncbi
SAMEA968155	Netherlands	2007	patric,ncbi
SAMEA1403778	Russia	2009	patric,ncbi
SAMN05916254	Peru	2012	patric,ncbi
SAMN05916288	Peru	2012	patric,ncbi
