Isolate	AMIKACIN	AMOXICILLIN	CAPREOMYCIN	CIPROFLOXACIN	CYCLOSERINE	ETHAMBUTOL	ETHIONAMIDE	ISONIAZID	KANAMYCIN	MOXIFLOXACIN	OFLOXACIN	PARA_AMINOSALICYLIC_ACID	PROTHIONAMIDE	PYRAZINAMIDE	RIFAMPICIN	STREPTOMYCIN
SAMEA3402471						R		R						R	R	
SAMEA3402472						R		R						R	R	
SAMEA3402473						S		S						S	S	
SAMEA3402474						S		R							R	
SAMEA3402475						S		R						R	R	
SAMEA3402849						S		S						S	S	
SAMEA3402850						S		R						S	R	
SAMEA3402851						S		S						S	S	
SAMEA3402852						R		R							R	
SAMEA3402853						R		R						R	R	
SAMEA3402854						R		R						R	R	
SAMEA3402855						R		R						R	R	
SAMEA3402866						R		R						R	R	
SAMEA3402868						R		R						R	R	
SAMEA3402869						R		R						R	R	
SAMEA3402870						R		R						S	S	
SAMEA3402871						S		S							S	
SAMEA3402872						R		R						R	R	
SAMEA3402873						R		R						R	R	
SAMEA3402874						R		R						R	R	
SAMEA3402875						R		R						R	R	
SAMEA3402904						R		R						S	R	
SAMEA3402905						R		R						S	R	
SAMEA3402906						S		R						R	S	
SAMEA3402907						R		R						S	R	
SAMEA3402908						S		R						R	R	
SAMEA3402909						R		R						R	R	
SAMEA3402910						S		R						S	R	
SAMEA3402911						R		R						R	R	
SAMEA3402912						R		R						R	R	
SAMEA3402913						R		R						R	R	
SAMEA3402914						R		R						R	R	
SAMEA3402915						R		R						R	R	
SAMEA3402919						R		R						S	R	
SAMEA3402920						R		R						S	R	
SAMEA3402921						S		R							R	
SAMEA3402922						S		R						S	R	
SAMEA3402923						S		R						S	R	
SAMEA3402924						S		R							R	
SAMEA3402925						S		R						R	R	
SAMEA3402926						R		R							R	
SAMEA3402927						S		R						S	R	
SAMEA3402929						R		R						R	R	
SAMEA3402930						R		R							R	
SAMEA3402931						R		R						R	R	
SAMEA3402932						S		R						S	R	
SAMEA3402933						R		R						S	R	
SAMEA3402934								R							R	
SAMEA3402935						S		R						R	R	
SAMEA3403342						S		S						S	S	
SAMEA3403343						S		R						S	R	
SAMEA3403345						S		R						S	S	
SAMEA3403346						S		R							R	
SAMEA3403347						R		R						R	R	
SAMEA3403348						R		R							R	
SAMEA3403349						R		R						R	R	
SAMEA3403350						R		R						R	R	
SAMEA3403351						S		R						S	R	
SAMEA3403352						R		R							R	
SAMEA3403353						R		R							R	
SAMEA3403354						S		R						S	R	
SAMEA3403355						R		R						R	R	
SAMEA3403838						R		R							R	
SAMEA3403839						S		R							R	
SAMEA3403840						S		S						S	S	
SAMEA3403841						R		R							R	
SAMEA3403842						R		R						R	R	
SAMEA3403843						R		R						S	R	
SAMEA3403844						S		S							S	
SAMEA3403845						S		R						S	R	
SAMEA3403846						S		S						S	S	
SAMEA3403847						R		R							R	
SAMEA3403848						S		R						S	R	
SAMEA3403849						R		R						S	R	
SAMEA3403850						R		R							R	
SAMEA3403851						S		S							S	
SAMEA3403852						R		R						R	R	
SAMEA3403853						S		R						S	R	
SAMEA3403854						R		R						S	R	
SAMEA3403855						R		R						R	R	
SAMEA3404125						R		R						R	R	
SAMEA3404126						R		R						S	R	
SAMEA3404127						R		R						R	R	
SAMEA3404128						S		S							S	
SAMEA3404129						S		R						S	R	
SAMEA3404130						S		R						S	R	
SAMEA3404131						S		R						S	R	
SAMEA3404132						S		R						S	R	
SAMEA3404133						S		R						S	S	
SAMEA3404134						S		R							R	
SAMEA3404163						S		R						S	R	
SAMEA3404164						R		R						R	R	
SAMEA3404165						S		S						S	S	
SAMEA3404166						S		S						S	S	
SAMEA3404167						S		R							R	
SAMEA3404168						R		R						S	R	
SAMEA3404169						R		R						S	R	
SAMEA3404170						R		R						S	R	
SAMEA3404171						S		R							R	
SAMEA3404172						S		R						R	R	
SAMEA3404173						R		R						R	R	
SAMEA3404174						S		S						S	S	
SAMEA3404175						R		R							R	
SAMEA3404178						S		R						S	R	
SAMEA3404179						R		R						S	R	
SAMEA3404180						R		R						R	R	
SAMEA3404181						R		R						R	R	
SAMEA3404182						R		R							R	
SAMEA3404183						R		R						S	R	
SAMEA3404184						R		R						R	R	
SAMEA3404185						S		R						S	R	
SAMEA3404186						R		R						R	R	
SAMEA3404187						R		R						S	R	
SAMEA3404188						R		R						R	R	
SAMEA3404189						R		R							R	
SAMEA3404190						S		R						S	R	
SAMEA3404191						S		S							S	
SAMEA3404192						R		R						R	R	
SAMEA3404193						S		S						S	S	
SAMEA3404195						S		S						S	S	
SAMEA3414198						S		R							R	
SAMEA3414199						S		R						R	R	
SAMEA3414200						S		R						S	R	
SAMEA3414201						S		R						S	R	
SAMEA3414202						R		R						R	S	
SAMEA3414203						R		R						R	R	
SAMEA3414204						R		R						R	R	
SAMEA3414205						R		R						R	R	
SAMEA3414206						R		R						R	R	
SAMEA3414207						R		R							R	
SAMEA3414208						R		R						R	R	
SAMEA3414209						S		R							R	
SAMEA3414210								R							R	
SAMEA3414211						R		R						S	R	
SAMEA3414212						R		R							R	
SAMEA3414213						S		R						S	R	
SAMEA3414214						S		R						R	R	
SAMEA3414215						R		R						S	R	
SAMEA3414399						R		R						R	R	
SAMEA3414400								R							R	
SAMEA3414401						R		R						R	R	
SAMEA3414402						S		R						S	R	
SAMEA3414403						R		R						S	R	
SAMEA3414404						R		R							R	
SAMEA3414405						R		R						R	R	
SAMEA3414406						R		R						R	R	
SAMEA3414407						R		R						R	R	
SAMEA3414408						R		R						R	R	
SAMEA3414409						R		R						R	R	
SAMEA3414410						R		R						S	R	
SAMEA3414411						S		R						S	R	
SAMEA3414412						S		R						R	R	
SAMEA3414413						S		R						S	R	
SAMEA3414414						R		R						R	R	
SAMEA3414415						S		R						S	R	
SAMEA3414459						R		R						R	R	
SAMEA3414460						R		R						S	R	
SAMEA3414461						S		S							S	
SAMEA3414462						R		R						R	R	
SAMEA3414463						S		R							R	
SAMEA3414464						S		R						S	R	
SAMEA3414465						S		S						S	S	
SAMEA3414466						R		R						R	R	
SAMEA3414467						S		S						S	S	
SAMEA3414468						R		R							R	
SAMEA3414469						R		R						S	R	
SAMEA3414470						R		R						R	R	
SAMEA3414471						S		R						R	R	
SAMEA3414472						S		S							S	
SAMEA3414473						R		R						S	R	
SAMEA3414474						R		R							R	
SAMEA3414475						S		S						S	S	
SAMEA3416659						S		R						S	R	
SAMEA3416660						R		R						R	R	
SAMEA3416661						R		R						S	R	
SAMEA3416662						S		R						S	R	
SAMEA3416663						R		R						R	R	
SAMEA3416664						S		R						R	R	
SAMEA3416665						R		R						S	R	
SAMEA3416666						R		R						R	R	
SAMEA3416667						S		R						S	R	
SAMEA3416668						S		S							S	
SAMEA3416669						R		R						S	S	
SAMEA3416670						R		R						S	R	
SAMEA3416671						R		R						R	R	
SAMEA3416672						R		R						R	R	
SAMEA3416673						R		R						S	R	
SAMEA3416675						R		R						S	R	
SAMEA3416725						R		R						R	R	
SAMEA3416726						S		R						S	R	
SAMEA3416727						R		R							R	
SAMEA3416728						R		R							R	
SAMEA3416729						R		R						S	R	
SAMEA3416730						R		R						S	R	
SAMEA3416731						R		R						R	R	
SAMEA3416732						S		R						R	R	
SAMEA3416733						S		R						S	R	
SAMEA3416734						R		R							R	
SAMEA3416735						R		R							R	
SAMEA3420835						R		R						R	R	
SAMEA3420837						R		R						S	R	
SAMEA3420838						R		R						R	R	
SAMEA3420839						R		R						R	R	
SAMEA3420840								S							S	
SAMEA3420841						S		R							R	
SAMEA3420842						R		R						R	R	
SAMEA3420843						R		R						R	R	
SAMEA3420844						R		R						S	R	
SAMEA3420845						R		R						R	R	
SAMEA3420846						S		R						R	R	
SAMEA3420847						R		R						R	R	
SAMEA3420848						R		R						R	S	
SAMEA3420849						R		R						R	R	
SAMEA3420850						S		R						S	R	
SAMEA3420851								R							R	
SAMEA3420852						S		S						S	S	
SAMEA3420853						R		R						R	R	
SAMEA3420855						S		S						S	S	
SAMEA3420858						R		R						S	R	
SAMEA3420859								R							R	
SAMEA3420860						S		R						S		
SAMEA3420861						S		R						S	R	
SAMEA3420862						S		R						S	R	
SAMEA3420863								R						S	R	
SAMEA3420864						R		R						S	R	
SAMEA3420865								R						S	R	
SAMEA3420867								R						S	R	
SAMEA3420868								R						R	R	
SAMEA3420869						S		R						S	R	
SAMEA3420870						S		R						S	R	
SAMEA3420871						S		R						S	S	
SAMEA3420872								R							R	
SAMEA3420873						R		R						R	R	
SAMEA3420874						S		R						S	R	
SAMEA3420875								R						R	R	
SAMEA3420922						S		R							R	
SAMEA3420923								R						S	R	
SAMEA3420924						S		S						S		
SAMEA3420925								R						S	R	
SAMEA3420926								R						S	R	
SAMEA3420927								R							R	
SAMEA3420928								R						S	R	
SAMEA3420929						R		R						S	R	
SAMEA3420930								R							R	
SAMEA3420931								R						R	R	
SAMEA3420933								R							R	
SAMEA3420934								R						R	R	
SAMEA3420935								R							R	
SAMEA3420941						R		R						R	R	
SAMEA3420942								R						R	R	
SAMEA3420943						S		R						S	S	
SAMEA3420944								R						R	R	
SAMEA3420945								R						S	R	
SAMEA3420946						R		R						S	R	
SAMEA3420947								R						S	R	
SAMEA3420948						R		R						S	R	
SAMEA3420949						S		R						S	R	
SAMEA3420950						S		R						R	R	
SAMEA3420951						R		R						R	R	
SAMEA3420952						S								S	R	
SAMEA3420953						S		R						S	R	
SAMEA3420954						R		R						R	R	
SAMEA3420955						R		R						R	R	
SAMEA3421005						S		R						S	R	
SAMEA3421006								R							R	
SAMEA3421007								R						S	R	
SAMEA3421008						R		R						S	R	
SAMEA3421009						R		R						S	R	
SAMEA3421010						S		R						S		
SAMEA3421011						R		R						S	R	
SAMEA3421012						S		S						S	S	
SAMEA3421013								R						R		
SAMEA3421014						R		R						R	R	
SAMEA3421015						R		R						S	R	
SAMEA3421120						R		R						R	R	
SAMEA3421121								R						R	R	
SAMEA3421122								R							R	
SAMEA3421123						S		R						S	R	
SAMEA3421124						R		R						R	R	
SAMEA3421125								R							R	
SAMEA3421126								R						S	R	
SAMEA3421127						S		R						S	R	
SAMEA3421128						R		R						S	R	
SAMEA3421129						S		R						R	R	
SAMEA3421130						R		R						S	R	
SAMEA3421131						R		R						R	R	
SAMEA3421132								R						S	R	
SAMEA3421133						S		R						S	R	
SAMEA3421134								R							R	
SAMEA3421135														S		
SAMEA3421166						S		R						R	R	
SAMEA3421167						S		R						S	R	
SAMEA3421168						R		R						S	R	
SAMEA3421169						S		R						S	R	
SAMEA3421170						R		R						S	R	
SAMEA3421171						R		R						R	R	
SAMEA3421172						S		R						S	R	
SAMEA3421173						R		R						R	R	
SAMEA3421174						R		R						R	R	
SAMEA3421175								R						S	R	
SAMEA3421177						S		R						R	R	
SAMEA3421178						R								S	R	
SAMEA3421179						R		R						R	R	
SAMEA3421181								R						R	R	
SAMEA3421182						S		R						S	R	
SAMEA3421183								R						S	R	
SAMEA3421184						S		R						S	R	
SAMEA3421185								R						S	R	
SAMEA3421186								R							R	
SAMEA3421187						S		R						S		
SAMEA3421188								R						S	R	
SAMEA3421189								R						S	R	
SAMEA3421190								R						R	R	
SAMEA3421191						R		R						R	R	
SAMEA3421192								R						R	R	
SAMEA3421193						R		R						S	R	
SAMEA3421194						R		R						S	R	
SAMEA3421195						S		R						R	R	
SAMEA3430653						R		R						R	R	
SAMEA3430654								R						S	R	
SAMEA3430655								R						S	R	
SAMEA3430666								R						S	R	
SAMEA3430668								R						R	R	
SAMEA3430669								R							R	
SAMEA3430670								R							R	
SAMEA3430671						R		R						R	R	
SAMEA3430672						S		R						S	R	
SAMEA3430673						R		R						S	R	
SAMEA3430674								R						S	R	
SAMEA3430675								R							R	
SAMEA3430684						S		R						S	R	
SAMEA3430685						S		R						S	S	
SAMEA3430686								R						S	R	
SAMEA3430687								R						S	R	
SAMEA3430688						R		R						S	R	
SAMEA3430689						S		R						S		
SAMEA3430690								R						S	R	
SAMEA3430691								R						S	R	
SAMEA3430692								R						R	R	
SAMEA3430693						R		R						R	R	
SAMEA3430694						S		S						S	S	
SAMEA3432715								R						S	R	
SAMEA3432784						R		R						R	R	
SAMEA3432785						S		S						S	S	
SAMEA3432786								R						S	R	
SAMEA3432787						R		R						R	R	
SAMEA3432788								R						S	R	
SAMEA3432789								R							R	
SAMEA3432790						S		R						S	R	
SAMEA3432791						R		R						S	R	
SAMEA3432792								R						R	R	
SAMEA3432793								R						S	R	
SAMEA3432794								R						R	R	
SAMEA3432795								R							R	
SAMEA3432797						R		R						S	R	
SAMEA3432798								R						S	R	
SAMEA3432799						R		R						S	R	
SAMEA3432800						S								S	R	
SAMEA3432801						R		R						S	R	
SAMEA3432802						S		S						S		
SAMEA3432803								R						R	R	
SAMEA3432804						R		R						R	R	
SAMEA3432805								R						S	R	
SAMEA3432806								R						R	R	
SAMEA3432807								R						S	R	
SAMEA3432808								R						R	R	
SAMEA3432809						S		R						S	R	
SAMEA3432810								R							R	
SAMEA3432811						R		R						R	R	
SAMEA3432812						R		R						R	R	
SAMEA3432813						R		R						S	R	
SAMEA3432814								R						R	R	
SAMEA3432815								R						S	R	
SAMEA3432844						S		R						S	R	
SAMEA3432845						S		R						S	R	
SAMEA3432846								R						S	R	
SAMEA3432847								R						S	R	
SAMEA3432848								R						S	R	
SAMEA3432849								R						R	R	
SAMEA3432850						S		R						S	R	
SAMEA3432852						R		R						R	R	
SAMEA3432853						S		R						S	R	
SAMEA3432854						S		R						S	R	
SAMEA3432855						S		R						R	R	
SAMEA3432934								R							R	
SAMEA3432935						R		R						S	R	
SAMEA3432957								R						R	R	
SAMEA3432958						S		R						S	R	
SAMEA3432959						S		R						S	S	
SAMEA3432960						R		R							R	
SAMEA3432961								R							R	
SAMEA3432962								R							R	
SAMEA3432963						S		R						S	R	
SAMEA3432964						R		R						S	R	
SAMEA3432965						S		R						S	R	
SAMEA3432966						R		R						R	R	
SAMEA3432967								R						R	R	
SAMEA3432968						S		R						S	R	
SAMEA3432969						R		R						R	R	
SAMEA3432970						S		S						S	S	
SAMEA3432971								R						S	R	
SAMEA3432972								R						S	R	
SAMEA3432973						S		R						S	R	
SAMEA3432974						S		R						R	R	
SAMEA3432975						R		R						R	R	
SAMEA3436329								R						S		
SAMEA3436330						S		R						S	R	
SAMEA3436331								R							R	
SAMEA3436332						R		R						R	R	
SAMEA3436334						S		R						S	R	
SAMEA3436335								R						S	R	
SAMEA3436388						R		R						S	R	
SAMEA3436389						S		R						S	R	
SAMEA3436390								R						S	R	
SAMEA3436391								R						S	R	
SAMEA3436392								R						S	R	
SAMEA3436393						S		R						S	R	
SAMEA3436394								R						R	R	
SAMEA3436395						R		R						S	R	
SAMEA3436979								R						S	R	
SAMEA3436980						S		S						S	S	
SAMEA3436981						S		R						S	R	
SAMEA3436982								R						S	R	
SAMEA3436983								R						R	R	
SAMEA3436984								R						S	R	
SAMEA3436985						S		S						S		
SAMEA3436986								R							R	
SAMEA3436987						R		R						R	R	
SAMEA3436988						R		R						R	R	
SAMEA3436989								R						S	R	
SAMEA3436990						S		R						S	R	
SAMEA3436991						R		R						S	R	
SAMEA3436992						R		R						S	R	
SAMEA3436993						S		R						R	R	
SAMEA3436994						S		S						S	S	
SAMEA3436995								R						S	R	
SAMEA3437024						R		R						R	R	
SAMEA3437025								R						S	R	
SAMEA3437026						R		R						S	R	
SAMEA3437027						S		R						R	R	
SAMEA3437028						S		R						S	R	
SAMEA3437029						R		R						R	R	
SAMEA3437030								R						S	R	
SAMEA3437031						R		R						S	R	
SAMEA3437032						S		R						S	R	
SAMEA3437033								R						R	R	
SAMEA3437034								R						R	R	
SAMEA3437035								R						R	R	
SAMEA3442395						R		R						S	R	
SAMEA3442604						R		R						S	R	
SAMEA3442605						R		R						R	R	
SAMEA3442606								R						R	R	
SAMEA3442607								R						S	R	
SAMEA3442608						R		R						R	R	
SAMEA3442609								R						S	R	
SAMEA3442610						S		R						S	R	
SAMEA3442611						S		R						S	R	
SAMEA3442612								R							R	
SAMEA3442614						R		R						S	R	
SAMEA3442615						S		S						S	S	
SAMEA3442731						R		R						R	R	
SAMEA3442732						R		R						R	R	
SAMEA3442733								R						R	R	
SAMEA3442734								R						R	R	
SAMEA3442735								R						S	R	
SAMEA3443138						R		R						R	R	
SAMEA3443139						S		R						S		
SAMEA3443140						R		R						R	R	
SAMEA3443141								R							R	
SAMEA3443142								R						S	R	
SAMEA3443143								R						R	R	
SAMEA3443144						R		R						S	R	
SAMEA3443145						R		R						R	R	
SAMEA3443146								R						S	R	
SAMEA3443147						S		R						S	R	
SAMEA3443148						R		R						R	R	
SAMEA3443149								R						R	R	
SAMEA3443150								R						R	R	
SAMEA3443151						R		R						R	R	
SAMEA3443152						R		R						S	R	
SAMEA3443153						R		R						R	R	
SAMEA3443154						R		R						R	R	
SAMEA3443155								R						R	R	
SAMEA3443157						R		R						R	R	
SAMEA3443158								R						S	R	
SAMEA3443159						R		R						R	R	
SAMEA3443160						R		R						R	R	
SAMEA3443161								R						S	R	
SAMEA3443162						S		R						S	R	
SAMEA3443163						S		R						R	R	
SAMEA3443164						R		R						S	R	
SAMEA3443165								R						S	R	
SAMEA3443166						S		R						S	R	
SAMEA3443167						S		R						S	R	
SAMEA3443168						S		R						S	R	
SAMEA3443169						S		R						S	R	
SAMEA3443170						S		R						S	R	
SAMEA3443171						S		S						S	S	
SAMEA3443172						R		R						S	R	
SAMEA3443173						S		R						R	R	
SAMEA3443174								R						R	R	
SAMEA3443175						S		R						S	R	
SAMEA3443177						S		R						S	R	
SAMEA3443178						S		R						S	R	
SAMEA3443179						S		R						S	R	
SAMEA3443180								R						S	R	
SAMEA3443181						S		R						S	R	
SAMEA3443182								R						S	R	
SAMEA3443183								R						R	R	
SAMEA3443184						S		R						S	R	
SAMEA3443185						S		R						S	R	
SAMEA3443186						S		R							R	
SAMEA3443187								R						R	R	
SAMEA3443188								R						R	R	
SAMEA3443189						R		R						R	R	
SAMEA3443190						S								S	S	
SAMEA3443191								R						S	R	
SAMEA3443192						S		S						S	S	
SAMEA3443193						S		S						S	S	
SAMEA3443194								R						S	R	
SAMEA3443195						R		R						R	R	
SAMEA3443360						S								R	R	
SAMEA3443361								R						R	R	
SAMEA3443362								R						S	R	
SAMEA3443363								R						S	R	
SAMEA3443364						S		S						S	S	
SAMEA3443365						R		R						S	R	
SAMEA3443366						S		R						S	R	
SAMEA3443367						S		S						S	S	
SAMEA3443368								R						S	R	
SAMEA3443369						S		R						R	R	
SAMEA3443370								R						S	R	
SAMEA3443371						S		R						S		
SAMEA3443372						R		R						S	R	
SAMEA3443373								R						R	R	
SAMEA3443374						S		R						S	R	
SAMEA3443375						S		R						R	R	
SAMEA3443784						R		R						S	R	
SAMEA3443786						S		S						S	S	
SAMEA3443787						S								S	R	
SAMEA3443788						S		R						R	R	
SAMEA3443789								R						S	R	
SAMEA3443790								R						S	R	
SAMEA3443791								R							R	
SAMEA3443792						S		R						S	R	
SAMEA3443793						S		R						S	R	
SAMEA3443794								R						S	R	
SAMEA3443795								R						S	R	
SAMEA3444029						R		R						S	R	
SAMEA3444030								R						R	R	
SAMEA3444031								R						S	R	
SAMEA3444032						S		R						S	R	
SAMEA3444033								R							R	
SAMEA3444034						R		R						R		
SAMEA3444035						S		R						S	R	
SAMEA3444039						R		R						S	R	
SAMEA3444040						R		R						S	R	
SAMEA3444041						S		R						S	R	
SAMEA3444042						R		R						R	R	
SAMEA3444043								R						S	R	
SAMEA3444044						S		R						S	R	
SAMEA3444045								R						S	R	
SAMEA3444046								R							R	
SAMEA3444047								R						R	R	
SAMEA3444048								R						S	R	
SAMEA3444049								R						R	R	
SAMEA3444050								R						R	R	
SAMEA3444051								R						S	R	
SAMEA3444052						S		S						S	S	
SAMEA3444053						S		R						S	R	
SAMEA3444054						S		R						S	R	
SAMEA3444055						S		S						S	S	
SAMEA3444104								R							R	
SAMEA3444105						R		R						S	R	
SAMEA3444106						R		R						R	R	
SAMEA3444107						S		S						S	S	
SAMEA3444108						S		R						S	R	
SAMEA3444109						S		R						S	R	
SAMEA3444110								R						R	R	
SAMEA3444111								R						S	R	
SAMEA3444112								R							R	
SAMEA3444113						S		R						S	R	
SAMEA3444114								R							R	
SAMEA3444115								R						S	R	
SAMEA3444485						R		R						R	R	
SAMEA3444486								R						S	R	
SAMEA3444487						S		R						S	R	
SAMEA3444488						S		R						S	R	
SAMEA3444489						R		R						R	R	
SAMEA3444490						S		R						R	R	
SAMEA3444491						S		R						S	R	
SAMEA3444492								R						R	R	
SAMEA3444494						S		S						S	S	
SAMEA3444495						S		S						S	S	
SAMEA3444508						S		S						S	S	
SAMEA3444509						S		S						S	S	
SAMEA3444510						S		S							S	
SAMEA3444511						S		S						S	S	
SAMEA3444512						S		S						S	S	
SAMEA3444513						S		S						S	S	
SAMEA3444514						S		R						S	S	
SAMEA3444515						S		S						S	S	
SAMEA3444534						S		S						S	S	
SAMEA3444535						S		R						S	S	
SAMEA3444542						S		S						S	S	
SAMEA3444543						S		S						S	S	
SAMEA3444544						S		S						S	S	
SAMEA3444545						S		S						S	S	
SAMEA3444546						S		S						S	S	
SAMEA3444547						S		S						S	S	
SAMEA3444548						S		S						S	S	
SAMEA3444549						S		S						S	S	
SAMEA3444550						S		S						S	S	
SAMEA3444551						S		S							S	
SAMEA3444552						S		S						S	S	
SAMEA3444553						S		S						S	S	
SAMEA3444555						S		S						R	S	
SAMEA3444867						S		S						S	S	
SAMEA3444868						S		S						S	S	
SAMEA3444869						S		S						S	S	
SAMEA3444870						S		S						S	S	
SAMEA3444871						S		S						S	S	
SAMEA3444872						S		R						S	S	
SAMEA3444873						S		S						S	S	
SAMEA3444874						S		S						S	S	
SAMEA3444875						S		S						S	S	
SAMEA3445000						S		S						S	S	
SAMEA3445001						S		S						S	S	
SAMEA3445002						S		S						S	S	
SAMEA3445003						S		S						S	S	
SAMEA3445004						S		S						S	S	
SAMEA3445005						S		S						R	S	
SAMEA3445006						S		S						S	S	
SAMEA3445007						S		S						S	S	
SAMEA3445008						S		S						S	S	
SAMEA3445009						S		S						S	S	
SAMEA3445010						S		S						S	S	
SAMEA3445011						S		S						S	S	
SAMEA3445012						S		S						S	S	
SAMEA3445013						S		S						S	S	
SAMEA3445014						S		S						S	S	
SAMEA3445015						S		S						S	S	
SAMEA3445041						S		S							S	
SAMEA3445042						S		S						S	S	
SAMEA3445043						S		S						R	S	
SAMEA3445044						S		S						S	S	
SAMEA3445045						S		S						S	S	
SAMEA3445046						S		S						S	S	
SAMEA3445047						S		S						S	S	
SAMEA3445048						S		S						S	S	
SAMEA3445049						S		S						S	S	
SAMEA3445050						S		S						S	S	
SAMEA3445051						S		S						S	S	
SAMEA3445052								R						S	R	
SAMEA3445053						S		S						S	S	
SAMEA3445054						S		S						S	S	
SAMEA3445055						S		S							S	
SAMEA3445234						S		S						S	S	
SAMEA3445235								R						S	R	
SAMEA3445237						S		S						S	S	
SAMEA3445238						S		S						R	S	
SAMEA3445239						S		S						S	S	
SAMEA3445240						S		S						S	S	
SAMEA3445241						S		S						S	S	
SAMEA3445242						S		S						S	S	
SAMEA3445244						S		S						S	S	
SAMEA3445245						S		S						S	S	
SAMEA3445246						S		S							S	
SAMEA3445247						S		S							S	
SAMEA3445248						S		S						S	S	
SAMEA3445249						S		S						S	S	
SAMEA3445250						S		S						S	S	
SAMEA3445251						S		S						S	S	
SAMEA3445252						S		S						S	S	
SAMEA3445253						S		S						S	S	
SAMEA3445254						S		S						S	S	
SAMEA3445255						S		S						S	S	
SAMEA3445263						S		S						S	S	
SAMEA3445264						S		S						S	S	
SAMEA3445265						S		S						S	S	
SAMEA3445266						S		S						S	S	
SAMEA3445267						S		S						S	S	
SAMEA3445268						S		S						S	S	
SAMEA3445269						S		S							S	
SAMEA3445270						S		R						S	S	
SAMEA3445271						S		S						S	S	
SAMEA3445272						S		S						S	S	
SAMEA3445273						S		S						S	S	
SAMEA3445274						S		S						S	S	
SAMEA3445275						S		S						S	S	
SAMEA3445330						S		S						S	S	
SAMEA3445331						S		S						R	S	
SAMEA3445332						S		S						S	S	
SAMEA3445333						S		S							S	
SAMEA3445335						S		S						S	S	
SAMEA3445337						S		R						S	S	
SAMEA3445338						S		S						R	S	
SAMEA3445339						S		S						S	S	
SAMEA3445340						S		R						S	S	
SAMEA3445341						S		S						S	S	
SAMEA3445342						S		S						S	S	
SAMEA3445343						S		S						S	S	
SAMEA3445344						S		S						R	S	
SAMEA3445345						S		S						S	S	
SAMEA3445346						S		S						S	S	
SAMEA3445347						S		S						S	S	
SAMEA3445348						S		S							S	
SAMEA3445349						S								S	S	
SAMEA3445350						S		S						S	S	
SAMEA3445351						S		S						S	S	
SAMEA3445352						S		S						S	S	
SAMEA3445353						S		S						S	S	
SAMEA3445354						S		S						S	S	
SAMEA3445355						S		R						S	S	
SAMEA3446424						S		S						S	S	
SAMEA3446425						S		S						S	S	
SAMEA3446426						S		S						S	S	
SAMEA3446427						S								S	S	
SAMEA3446428						S		S						S	S	
SAMEA3446429						S		S						S	S	
SAMEA3446430						S		S						S	S	
SAMEA3446431						S		S						S	S	
SAMEA3446432						S		R						S	R	
SAMEA3446433						S		S						S	R	
SAMEA3446434						S		S						S	S	
SAMEA3446435						S								S	S	
SAMEA3446527						S		S						S	S	
SAMEA3446528						S		S						S	S	
SAMEA3446529						S		S							S	
SAMEA3446530						S		S							S	
SAMEA3446531						S		S						S	S	
SAMEA3446532						S		S							S	
SAMEA3446533						S		S						S	S	
SAMEA3446534						S		S						S	S	
SAMEA3446535						S		S						S	S	
SAMEA3446538						S		S						S	S	
SAMEA3446539						S		S						S	S	
SAMEA3446540						S		R						S	S	
SAMEA3446541						S								S	S	
SAMEA3446542						S		S						R	S	
SAMEA3446543						S		S						S	S	
SAMEA3446544						S		S						S	S	
SAMEA3446545						S		S						S	S	
SAMEA3446546						S		S						S	S	
SAMEA3446547						S		R						S	S	
SAMEA3446548						S		S						S	S	
SAMEA3446549						S		S						S	S	
SAMEA3446550						S		S							S	
SAMEA3446551						S		S						S	S	
SAMEA3446552						S		S						S	S	
SAMEA3446553						S		S						S	S	
SAMEA3446554						S		S						S	S	
SAMEA3446555						S		R						S	S	
SAMEA3446740						S		S						S	S	
SAMEA3446741						S		S						S	S	
SAMEA3446742						S		S						S	S	
SAMEA3446743						S		S						S	S	
SAMEA3446744						S		S						S	S	
SAMEA3446745						S		S						S	S	
SAMEA3446746						S		S						S	S	
SAMEA3446747						S		S							S	
SAMEA3446748						S		S						S	S	
SAMEA3446749						S		S						S	S	
SAMEA3446750						S		R						S	S	
SAMEA3446751						S		S						S	S	
SAMEA3446752						S		S						S	S	
SAMEA3446753						S		S						R	S	
SAMEA3446754						S		R						S	S	
SAMEA3446755						S		S						S	S	
SAMEA3447558						R		R						R	R	
SAMEA3447559						S		S							S	
SAMEA3447560						S		R						S	S	
SAMEA3447561						S		S							S	
SAMEA3447562						S		S						S	S	
SAMEA3447563						S		S						S	S	
SAMEA3447564						S		S						S	S	
SAMEA3447565						S		S						S	S	
SAMEA3447566						S		S							S	
SAMEA3447567						S		S						S	S	
SAMEA3447568						S		S						S	S	
SAMEA3447569						S		R						S	S	
SAMEA3447570						S		S						S	S	
SAMEA3447571						S								S	S	
SAMEA3447572						S		S						S	S	
SAMEA3447573						S		S						S	S	
SAMEA3447574						S		S							S	
SAMEA3447575						S		S						S	S	
SAMEA3447577						S		S						S	S	
SAMEA3447578						S		S						S	S	
SAMEA3447579						S		S						S	S	
SAMEA3447580						S		S						S	S	
SAMEA3447581						S		S						S	S	
SAMEA3447582						S		S							S	
SAMEA3447583						S		S						S	S	
SAMEA3447584						S		S						S	S	
SAMEA3447585						S		R						R	R	
SAMEA3447586						S		S						S	S	
SAMEA3447587						S		R						S	S	
SAMEA3447588						S		S						S	S	
