Isolate	AMIKACIN	AMOXICILLIN	CAPREOMYCIN	CIPROFLOXACIN	CYCLOSERINE	ETHAMBUTOL	ETHIONAMIDE	ISONIAZID	KANAMYCIN	MOXIFLOXACIN	OFLOXACIN	PARA_AMINOSALICYLIC_ACID	PROTHIONAMIDE	PYRAZINAMIDE	RIFAMPICIN	STREPTOMYCIN
SAMEA104394461						S		S						S	S	
SAMEA104394462						S		S						S	S	
SAMEA104394463						S		S						S	R	
SAMEA104394464						S		S						S	S	
SAMEA104394465						S		S						S	S	
SAMEA104394466						S		S						S	S	
SAMEA104394467						S		S						S	S	
SAMEA104394468						S		S						S	S	
SAMEA104394469						S		R						S	R	
SAMEA104394470						S		S						S	S	
SAMEA104394471						S		S						S	S	
SAMEA104394472						S		S						S	S	
SAMEA104394473						S		R						S	S	
SAMEA104394474						S		S						S	S	
SAMEA104394475						S		S						S	S	
SAMEA104394476						S		S						S	S	
SAMEA104394477						S		S						S	S	
SAMEA104394478						S		S						S	S	
SAMEA104394479						S		S						S	S	
SAMEA104394480						S		S						S	S	
SAMEA104394481						S		S						S	S	
SAMEA104394482						S		S						S	S	
SAMEA104394483						S		S						S	S	
SAMEA104394484						S		S						S	S	
SAMEA104394485						S		S						S	S	
SAMEA104394486						S		S						S	S	
SAMEA104394487						S		S						S	S	
SAMEA104394488						S		S						S	S	
SAMEA104394489						S		S						S	S	
SAMEA104394490						S		S						S	S	
SAMEA104394491						S		S						S	S	
SAMEA104394492						S		S						S	S	
SAMEA104394493						S		S						S	S	
SAMEA104394494						S		S						S	S	
SAMEA104394495						S		S						S	S	
SAMEA104394496						S		S						S	S	
SAMEA104394497						S		S						S	S	
SAMEA104394498						S		S						S	S	
SAMEA104394499						S		R						S	S	
SAMEA104394500						S		S						S	S	
SAMEA104394501						S		S						S	S	
SAMEA104394502						S		S						S	S	
SAMEA104394503						S		R						S	S	
SAMEA104394504						S		S						S	S	
SAMEA104394505						S		S						S	S	
SAMEA104394506						S		S						S	S	
SAMEA104394507						S		S						S	S	
SAMEA104394508						S		S						S	S	
SAMEA104394509						S		S						S	S	
SAMEA104394510						S		S						S	S	
SAMEA104394511						S		S						S	S	
SAMEA104394512						S		S						S	S	
SAMEA104394513						S		S						S	S	
SAMEA104394514						S		S						S	S	
SAMEA104394515						S		S						S	S	
SAMEA104394516						R		R						R	R	
SAMEA104394517						S		S						S	S	
SAMEA104394518						S		S						S	S	
SAMEA104394519						S		S						S	S	
SAMEA104394520						S		S						S	S	
SAMEA104394521						S		S						S	S	
SAMEA104394522						S		S							S	
SAMEA104394523						S		S							S	
SAMEA104394524						S		S							S	
SAMEA104394525						S		S							S	
SAMEA104394526						S		S							S	
SAMEA104394527						S		S							S	
SAMEA104394528						S		S							S	
SAMEA104394529						S		S							S	
SAMEA104394530						S		S							S	
SAMEA104394531						S		S							S	
SAMEA104394532						S		S							S	
SAMEA104394533						S		S							S	
SAMEA104394534						S		S							S	
SAMEA104394535						S		S							S	
SAMEA104394536						S		S							S	
SAMEA104394537						S		S							S	
SAMEA104394538						S		S							S	
SAMEA104394539						S		S							S	
SAMEA104394540						S		S							S	
SAMEA104394541						S		S							S	
SAMEA104394542						S		S							S	
SAMEA104394543						S		S							S	
SAMEA104394544						S		S							S	
SAMEA104394545						S		S							S	
SAMEA104394546						S		S							S	
SAMEA104394547						S		S							S	
SAMEA104394548						S		S							S	
SAMEA104394549						S		S							S	
SAMEA104394550						S		S						S	S	
SAMEA104394551						S		S							S	
SAMEA104394553						S		S							S	
SAMEA104394554						S		S							S	
SAMEA104394555						S		S							S	
SAMEA104394556						S		S							S	
SAMEA104394557						S		S							S	
SAMEA104394558						S		S						S	S	
SAMEA104394559						S		S						S	S	
SAMEA104394560						S		S						S	S	
SAMEA104394561						S		S						S	S	
SAMEA104394562						S		S						S	S	
SAMEA104394563						S		S						S	S	
SAMEA104394564						S		S						S	S	
SAMEA104394565						S		S						S	S	
SAMEA104394566						S		S						S	S	
SAMEA104394567						S		S						S	S	
SAMEA104394568						S		S							S	
SAMEA104394569						S		S							S	
SAMEA104394570						S		S							S	
SAMEA104394571						S		S							S	
SAMEA104394572						S		S							S	
SAMEA104394573						S		S						S	S	
SAMEA104394574						S		S							S	
SAMEA104394575						S		S							S	
SAMEA104394576						S		S							S	
SAMEA104394577						S		S						S	S	
SAMEA104394578						S		S							S	
SAMEA104394579						S		S						S	S	
SAMEA104394580						S		S							S	
SAMEA104394581						S		S							S	
SAMEA104394582						S		S						S	S	
SAMEA104394583						S		S						S	S	
SAMEA104394584						S		S						S	S	
SAMEA104394585						S		S						S	S	
SAMEA104394586						S		S							S	
SAMEA104394587						S		S							S	
SAMEA104394588						S		S							S	
SAMEA104394589						S		S							S	
SAMEA104394590						S		S							S	
SAMEA104394593						S		S							S	
SAMEA104394594						S		S							S	
SAMEA104394595						S		S							S	
SAMEA104394596						S		S							S	
SAMEA104394597						S		S							S	
SAMEA104394598						S		S						S	S	
SAMEA104394599						S		S							S	
SAMEA104394600						S		S							S	
SAMEA104394601						S		S							S	
SAMEA104394602						S		S							S	
SAMEA104394603						S		S							S	
SAMEA104394604						S		S							S	
SAMEA104394605						S		S							S	
SAMEA104394606						S		S						S	S	
SAMEA104394607						S		S							S	
SAMEA104394608						S		S							S	
SAMEA104394609						S		S							S	
SAMEA104394610						S		S						S	S	
SAMEA104394611						S		S							S	
SAMEA104394612						S		S							S	
SAMEA104394613						S		S							S	
SAMEA104394615						S		S							S	
SAMEA104394616						S		S							S	
SAMEA104394617						S		S							S	
SAMEA104394618						S		S							S	
SAMEA104394619						S		S						S	S	
SAMEA104394620						S		S						S	S	
SAMEA104394621						S		S						S	S	
SAMEA104394622						S		S							S	
SAMEA104394623						S		S							S	
SAMEA104394624						S		S							S	
SAMEA104394625						S		S							S	
SAMEA104394626						S		S						S	S	
SAMEA104394627						S		S							S	
SAMEA104394628						S		S							S	
SAMEA104394629						S		S							S	
SAMEA104394631						S		S						S	S	
SAMEA104394632						S		S						S	S	
SAMEA104394633						S		S							S	
SAMEA104394634						S		S							S	
SAMEA104394635						S		S							S	
SAMEA104394636						S		S							S	
SAMEA104394637						S		S						S	S	
SAMEA104394638						S		S							S	
SAMEA104394639						S		S							S	
SAMEA104394640						S		S						S	S	
SAMEA104394641						S		S						S	S	
SAMEA104394642						S		S						S	S	
SAMEA104394643						S		S						S	S	
SAMEA104394644						S		S						S	S	
SAMEA104394645						S		S						S	S	
SAMEA104394646						S		S						S	S	
SAMEA104394647						S		S						S	S	
SAMEA104394648						S		S							S	
SAMEA104394649						S		S							S	
SAMEA104394650						S		S							S	
SAMEA104394651						R		R						R	R	
SAMEA104394652						S		R						S	S	
